num	page	end	size	note	time
59809	1	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:03:20
59809	1	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:03:31
59809	2	240	240	Done	2019-11-01 22:03:53
59809	3	240	240	Done	2019-11-01 22:04:05
59809	4	240	240	Done	2019-11-01 22:04:17
59809	5	240	240	Done	2019-11-01 22:04:28
59809	6	240	240	Done	2019-11-01 22:04:41
59809	7	240	240	Done	2019-11-01 22:04:52
59809	8	240	240	Done	2019-11-01 22:05:03
59809	9	240	240	Done	2019-11-01 22:05:14
59809	10	240	240	Done	2019-11-01 22:05:24
59809	11	240	240	Done	2019-11-01 22:05:34
59809	12	240	240	Done	2019-11-01 22:05:45
59809	13	240	240	Done	2019-11-01 22:05:56
59809	14	240	240	Done	2019-11-01 22:06:07
59809	15	240	240	Done	2019-11-01 22:06:19
59809	16	240	240	Done	2019-11-01 22:06:29
59809	17	240	240	Done	2019-11-01 22:06:47
59809	18	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:06:52
59809	18	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:07:04
59809	19	240	240	Done	2019-11-01 22:07:24
59809	20	240	240	Done	2019-11-01 22:07:34
59809	21	240	240	Done	2019-11-01 22:07:51
59809	22	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:07:56
59809	22	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:08:07
59809	23	240	240	Done	2019-11-01 22:08:51
59809	24	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:08:56
59809	24	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:09:07
59809	25	240	240	Done	2019-11-01 22:09:29
59809	26	240	240	Done	2019-11-01 22:09:40
59809	27	240	240	Done	2019-11-01 22:09:54
59809	28	240	240	Done	2019-11-01 22:10:08
59809	29	240	240	Done	2019-11-01 22:10:19
59809	30	240	240	Done	2019-11-01 22:10:31
59809	31	240	240	Done	2019-11-01 22:10:40
59809	32	240	240	Done	2019-11-01 22:10:51
59809	33	240	240	Done	2019-11-01 22:11:02
59809	34	240	240	Done	2019-11-01 22:11:13
59809	35	240	240	Done	2019-11-01 22:11:23
59809	36	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:11:32
59809	36	240	240	ISBN must be either 10 or 13 characters long	2019-11-01 22:11:43
