num	page	end	size	note	time
59807	1	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:03:17
59807	1	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:03:29
59807	2	240	240	Done	2020-02-01 22:03:47
59807	3	240	240	Done	2020-02-01 22:03:57
59807	4	240	240	Done	2020-02-01 22:04:05
59807	5	240	240	Done	2020-02-01 22:04:12
59807	6	240	240	Done	2020-02-01 22:04:21
59807	7	240	240	Done	2020-02-01 22:04:28
59807	8	240	240	Done	2020-02-01 22:04:35
59807	9	240	240	Done	2020-02-01 22:04:41
59807	10	240	240	Done	2020-02-01 22:04:49
59807	11	240	240	Done	2020-02-01 22:04:55
59807	12	240	240	Done	2020-02-01 22:05:02
59807	13	240	240	Done	2020-02-01 22:05:09
59807	14	240	240	Done	2020-02-01 22:05:16
59807	15	240	240	Done	2020-02-01 22:05:23
59807	16	240	240	Done	2020-02-01 22:05:30
59807	17	240	240	Done	2020-02-01 22:05:38
59807	18	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:05:41
59807	18	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:05:52
59807	19	240	240	Done	2020-02-01 22:06:09
59807	20	240	240	Done	2020-02-01 22:06:16
59807	21	240	240	Done	2020-02-01 22:06:22
59807	22	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:06:25
59807	22	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:06:36
59807	23	240	240	Done	2020-02-01 22:06:53
59807	24	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:06:56
59807	24	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:07:07
59807	25	240	240	Done	2020-02-01 22:07:24
59807	26	240	240	Done	2020-02-01 22:07:30
59807	27	240	240	Done	2020-02-01 22:07:37
59807	28	240	240	Done	2020-02-01 22:07:43
59807	29	240	240	Done	2020-02-01 22:07:50
59807	30	240	240	Done	2020-02-01 22:07:56
59807	31	240	240	Done	2020-02-01 22:08:07
59807	32	240	240	Done	2020-02-01 22:08:14
59807	33	240	240	Done	2020-02-01 22:08:20
59807	34	240	240	Done	2020-02-01 22:08:26
59807	35	240	240	Done	2020-02-01 22:08:33
59807	36	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:08:36
59807	36	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:08:47
59807	37	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:09:00
59807	37	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:09:11
59807	38	240	240	Done	2020-02-01 22:09:27
59807	39	240	240	Done	2020-02-01 22:09:33
59807	40	240	240	Done	2020-02-01 22:09:39
59807	41	240	240	Done	2020-02-01 22:09:45
59807	42	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:09:48
59807	42	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:10:00
59807	43	240	240	Done	2020-02-01 22:10:17
59807	44	240	240	Done	2020-02-01 22:10:25
59807	45	240	240	Done	2020-02-01 22:10:31
59807	46	240	240	Done	2020-02-01 22:10:37
59807	47	240	240	Done	2020-02-01 22:10:45
59807	48	240	240	Done	2020-02-01 22:10:52
59807	49	240	240	Done	2020-02-01 22:10:58
59807	50	240	240	Done	2020-02-01 22:11:05
59807	51	240	240	Done	2020-02-01 22:11:11
59807	52	240	240	Done	2020-02-01 22:11:19
59807	53	240	240	Done	2020-02-01 22:11:25
59807	54	240	240	Done	2020-02-01 22:11:32
59807	55	240	240	Done	2020-02-01 22:11:39
59807	56	240	240	Done	2020-02-01 22:11:46
59807	57	240	240	Done	2020-02-01 22:11:53
59807	58	240	240	Done	2020-02-01 22:11:59
59807	59	240	240	Done	2020-02-01 22:12:06
59807	60	240	240	Done	2020-02-01 22:12:11
59807	61	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:12:14
59807	61	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:12:25
59807	62	240	240	Done	2020-02-01 22:12:42
59807	63	240	240	Done	2020-02-01 22:12:48
59807	64	240	240	Done	2020-02-01 22:12:54
59807	65	240	240	Done	2020-02-01 22:13:00
59807	66	240	240	Done	2020-02-01 22:13:07
59807	67	240	240	Done	2020-02-01 22:13:13
59807	68	240	240	Done	2020-02-01 22:13:19
59807	69	240	240	Done	2020-02-01 22:13:26
59807	70	240	240	Done	2020-02-01 22:13:33
59807	71	240	240	Done	2020-02-01 22:13:39
59807	72	240	240	Done	2020-02-01 22:13:46
59807	73	240	240	Done	2020-02-01 22:13:54
59807	74	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:13:57
59807	74	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:14:08
59807	75	240	240	Done	2020-02-01 22:14:25
59807	76	240	240	Done	2020-02-01 22:14:31
59807	77	240	240	Done	2020-02-01 22:14:36
59807	78	240	240	Done	2020-02-01 22:14:43
59807	79	240	240	Done	2020-02-01 22:14:49
59807	80	240	240	Done	2020-02-01 22:14:56
59807	81	240	240	Done	2020-02-01 22:15:03
59807	82	240	240	Done	2020-02-01 22:15:09
59807	83	240	240	Done	2020-02-01 22:15:16
59807	84	240	240	Done	2020-02-01 22:15:22
59807	85	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:15:25
59807	85	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:15:37
59807	86	240	240	Done	2020-02-01 22:15:54
59807	87	240	240	Done	2020-02-01 22:16:01
59807	88	240	240	Done	2020-02-01 22:16:08
59807	89	240	240	Done	2020-02-01 22:16:14
59807	90	240	240	Done	2020-02-01 22:16:21
59807	91	240	240	Done	2020-02-01 22:16:28
59807	92	240	240	Done	2020-02-01 22:16:34
59807	93	240	240	Done	2020-02-01 22:16:40
59807	94	240	240	Done	2020-02-01 22:16:47
59807	95	240	240	Done	2020-02-01 22:16:53
59807	96	240	240	ISBN must be either 10 or 13 characters long	2020-02-01 22:16:56
