num	page	end	size	note	time
59807	1	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:03:18
59807	1	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:03:29
59807	2	240	240	Done	2020-01-01 22:03:48
59807	3	240	240	Done	2020-01-01 22:03:58
59807	4	240	240	Done	2020-01-01 22:04:06
59807	5	240	240	Done	2020-01-01 22:04:15
59807	6	240	240	Done	2020-01-01 22:04:24
59807	7	240	240	Done	2020-01-01 22:04:32
59807	8	240	240	Done	2020-01-01 22:04:40
59807	9	240	240	Done	2020-01-01 22:04:49
59807	10	240	240	Done	2020-01-01 22:04:57
59807	11	240	240	Done	2020-01-01 22:05:04
59807	12	240	240	Done	2020-01-01 22:05:11
59807	13	240	240	Done	2020-01-01 22:05:18
59807	14	240	240	Done	2020-01-01 22:05:26
59807	15	240	240	Done	2020-01-01 22:05:34
59807	16	240	240	Done	2020-01-01 22:05:42
59807	17	240	240	Done	2020-01-01 22:05:49
59807	18	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:05:53
59807	18	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:06:05
59807	19	240	240	Done	2020-01-01 22:06:22
59807	20	240	240	Done	2020-01-01 22:06:30
59807	21	240	240	Done	2020-01-01 22:06:36
59807	22	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:06:40
59807	22	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:06:51
59807	23	240	240	Done	2020-01-01 22:07:08
59807	24	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:07:11
59807	24	240	240	ISBN must be either 10 or 13 characters long	2020-01-01 22:07:22
59807	25	240	240	Done	2020-01-01 22:07:40
59807	26	240	240	Done	2020-01-01 22:07:47
59807	27	240	240	Done	2020-01-01 22:07:53
59807	28	240	240	Done	2020-01-01 22:08:01
59807	29	240	240	Done	2020-01-01 22:08:08
59807	30	240	240	Done	2020-01-01 22:08:16
59807	31	240	240	Done	2020-01-01 22:08:24
59807	32	240	240	Done	2020-01-01 22:08:31
