site	product_id	variant_id	old_price	quantity	isbn10	condition	download_time	basic_price
ST	11746149199	47710597199	75.18	5	1610728734	new	20191002	
ST	11746149199	48445850767	70.38	6	1610728734	used	20191002	
ST	11746127311	47710427087	68.32	7	1610728750	new	20191002	
ST	11746127311	48445850831	38.38	6	1610728750	used	20191002	
ST	11746135887	47710497679	52.9	7	1516700309	new	20191002	
ST	11746135887	48445509775	54.38	4	1516700309	used	20191002	
ST	11746342415	47711182863	79.9	4	0837301785	new	20191002	
ST	11746342415	48443799055	79.92	3	0837301785	used	20191002	
ST	11698526287	47322037903	23.0	3	1466485353	new	20191002	
ST	11821707343	48031480911	172.45	4	0691629714	new	20191002	
ST	11821707343	48031480975	93.6	7	069161380X	new	20191002	
ST	11821707343	48058879503	171.34	7	0691629714	used	20191002	
ST	11823590927	48036148111	239.07	3	3319452304	new	20191002	
ST	11823590927	48060522959	239.07	3	3319452304	used	20191002	
ST	11823733455	48036609615	19.32	7	1530805538	new	20191002	
ST	11823733455	48060200527	19.32	5	1530805538	used	20191002	
ST	11823840911	48036988303	19.99	6	606887740X	new	20191002	
ST	11823840911	48075253263	19.99	3	606887740X	used	20191002	
ST	11823690831	48036485967	210.9	4	1493952854	new	20191002	
ST	11823690831	48060052559	206.66	5	1493952854	used	20191002	
ST	11731174543	47624617231	25.79	3	3709113865	new	20191002	
ST	11731174543	47832458127	25.79	3	3709113865	used	20191002	
ST	11731174543	47732628815	235.25	3	3709117259	new	20191002	
ST	11731174543	47832646287	233.97	4	3709117259	used	20191002	
ST	11808482831	47987377935	39.92	5	0826343767	new	20191002	
ST	11822450895	48033335375	34.0	4	1548409170	new	20191002	
ST	11822450895	48060257423	34.0	6	1548409170	used	20191002	
ST	11730743503	47622450511	81.86	4	0727757598	new	20191002	
ST	11730743503	48055877839	81.86	4	0727757598	used	20191002	
ST	11730627087	47622109199	941.6	3	111808960X	new	20191002	
ST	11730627087	47830390799	940.96	3	111808960X	used	20191002	
ST	11691708367	47244065551	29.99	3	1585160040	new	20191002	
ST	11692759631	47252378255	55.98	3	1930034156	new	20191002	
ST	11691514191	47243555407	84.78	3	1585168262	new	20191002	
ST	11691701455	47244046479	26.99	3	0899579558	new	20191002	
ST	11691737551	47244179151	30.98	5	1585169730	new	20191002	
ST	11726342415	47589674127	42.51	3	906369444X	new	20191002	
ST	11726342415	47809615503	39.76	5	906369444X	used	20191002	
ST	11807660175	47985652495	493.54	3	1942471858	new	20191002	
ST	11825938255	48043467407	20.23	0	1542427827	new	20191002	
ST	11825938255	48446510927	999.0	0	1542427827	used	20191002	
ST	11735343695	47649162959	28.99	7	1494483440	new	20191002	
ST	11735343695	47850203279	28.99	5	1494483440	used	20191002	
ST	11735343439	47649162511	28.99	6	1494482371	new	20191002	
ST	11735343439	47850201743	28.99	6	1494482371	used	20191002	
ST	11735343567	47649162767	28.99	4	1494483270	new	20191002	
ST	11735343567	47850202127	28.99	6	1494483270	used	20191002	
ST	11735343503	47649162639	28.99	4	1494482894	new	20191002	
ST	11735343503	47850201999	28.99	7	1494482894	used	20191002	
ST	11731276879	47625256015	103.6	4	3319162012	new	20191002	
ST	11731276879	47833045263	103.6	5	3319162012	used	20191002	
ST	11809261775	47990289423	159.97	7	3319365614	new	20191002	
ST	11809261775	48056385039	159.97	7	3319365614	used	20191002	
ST	11730464527	47621325711	148.26	6	3639314298	new	20191002	
ST	11730464527	48055766479	148.26	5	3639314298	used	20191002	
ST	11735371791	47649274191	160.0	6	1523927992	new	20191002	
ST	11735371791	47850265615	160.0	3	1523927992	used	20191002	
ST	11730452815	47621308175	146.48	3	3845403519	new	20191002	
ST	11730452815	47830053327	146.48	7	3845403519	used	20191002	
ST	11730506255	47621419087	146.69	7	3838316967	new	20191002	
ST	11730506255	47830296847	146.69	3	3838316967	used	20191002	
ST	11823928271	48037342991	63.98	5	1545484082	new	20191002	
ST	11823928271	48061089423	63.98	3	1545484082	used	20191002	
ST	11735530575	47650056143	86.18	4	1609713184	new	20191002	
ST	11735530575	47850578831	86.16	4	1609713184	used	20191002	
ST	11728112335	47605234575	59.89	5	1626253099	new	20191002	
ST	11728112335	47820206095	59.89	6	1626253099	used	20191002	
ST	11731955791	47630524111	875.12	3	1111031312	new	20191002	
ST	11731955791	47836929295	875.12	3	1111031312	used	20191002	
ST	11731955855	47630524303	875.12	3	1111348588	new	20191002	
ST	11731955855	47836931535	875.12	3	1111348588	used	20191002	
ST	11731955983	47630524623	875.12	3	1111355975	new	20191002	
ST	11731955983	47836933071	875.12	3	1111355975	used	20191002	
ST	11735504143	47649887951	76.91	6	160971332X	new	20191002	
ST	11735504143	47850527631	76.91	7	160971332X	used	20191002	
ST	11823920911	48037315663	67.79	0	1635300401	new	20191002	
ST	11823920911	48061158287	1397.52	3	1635300401	used	20191002	
ST	11746163023	47710655119	109.71	0	1940978882	new	20191002	
ST	11746163023	48446085327	1447.17	3	1940978882	used	20191002	
ST	11734563023	47644375311	113.5	7	3844302204	new	20191002	
ST	11734563023	47848814351	113.5	3	3844302204	used	20191002	
ST	11757973519	47772436687	29.99	4	0737742704	new	20191002	
ST	11822043983	48032200399	26.95	7	1532752024	new	20191002	
ST	11822043983	48059254415	26.95	6	1532752024	used	20191002	
ST	11698529999	47322068815	30.0	6	1470085860	new	20191002	
ST	11809584655	47991174927	26.95	5	154044502X	new	20191002	
ST	11809584655	48058717711	26.95	4	154044502X	used	20191002	
ST	11756759503	47768484687	24.48	6	1442472154	new	20191002	
ST	11737706447	47662782735	0.0	0	1940161649	new	20191002	
ST	11737706447	47851869839	0.0	0	1940161649	used	20191002	
ST	11755549711	47765137935	21.69	4	1619637030	new	20191002	
ST	11726403215	47590060111	44.72	6	1298550386	new	20191002	
ST	11726403215	48054557903	44.72	4	1298550386	used	20191002	
ST	11751394831	47750605071	23.99	7	1491574623	new	20191002	
ST	11739531599	47671888271	31.21	7	1925078728	new	20191002	
ST	11739531599	47857171855	31.21	7	1925078728	used	20191002	
ST	11746752975	47712233871	134.1	6	083738169X	new	20191002	
ST	11746752975	48444990799	120.69	5	083738169X	used	20191002	
ST	11746688527	47712089935	158.48	4	0837311640	new	20191002	
ST	11746688527	48444066191	140.37	7	0837311640	used	20191002	
ST	11755266383	47764530767	32.4	0	1508539960	new	20191002	
ST	11739207759	47670417551	600.38	3	3642061931	new	20191002	
