num	page	end	size	note	time
59808	1	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:03:14
59808	1	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:03:25
59808	2	240	240	Done	2019-12-01 22:03:42
59808	3	240	240	Done	2019-12-01 22:03:48
59808	4	240	240	Done	2019-12-01 22:03:53
59808	5	240	240	Done	2019-12-01 22:03:58
59808	6	240	240	Done	2019-12-01 22:04:03
59808	7	240	240	Done	2019-12-01 22:04:15
59808	8	240	240	Done	2019-12-01 22:04:20
59808	9	240	240	Done	2019-12-01 22:04:38
59808	10	240	240	Done	2019-12-01 22:05:03
59808	11	240	240	Done	2019-12-01 22:05:08
59808	12	240	240	Done	2019-12-01 22:05:13
59808	13	240	240	Done	2019-12-01 22:05:36
59808	14	240	240	Done	2019-12-01 22:05:41
59808	15	240	240	Done	2019-12-01 22:05:56
59808	16	240	240	Done	2019-12-01 22:06:21
59808	17	240	240	Done	2019-12-01 22:06:26
59808	18	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:06:27
59808	18	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:06:39
59808	19	240	240	Done	2019-12-01 22:06:53
59808	20	240	240	Done	2019-12-01 22:07:18
59808	21	240	240	Done	2019-12-01 22:07:24
59808	22	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:07:25
59808	22	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:07:36
59808	23	240	240	Done	2019-12-01 22:08:11
59808	24	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:08:12
59808	24	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:08:23
59808	25	240	240	Done	2019-12-01 22:08:58
59808	26	240	240	Done	2019-12-01 22:09:17
59808	27	240	240	Done	2019-12-01 22:09:22
59808	28	240	240	Done	2019-12-01 22:09:27
59808	29	240	240	Done	2019-12-01 22:09:53
59808	30	240	240	Done	2019-12-01 22:10:03
59808	31	240	240	Done	2019-12-01 22:10:07
59808	32	240	240	Done	2019-12-01 22:10:23
59808	33	240	240	Done	2019-12-01 22:10:30
59808	34	240	240	Done	2019-12-01 22:10:52
59808	35	240	240	Done	2019-12-01 22:11:17
59808	36	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:11:18
59808	36	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:11:29
59808	37	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:11:41
59808	37	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:11:52
59808	38	240	240	Done	2019-12-01 22:12:07
59808	39	240	240	Done	2019-12-01 22:12:32
59808	40	240	240	Done	2019-12-01 22:12:53
59808	41	240	240	Done	2019-12-01 22:12:57
59808	42	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:12:59
59808	42	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:13:10
59808	43	240	240	Done	2019-12-01 22:13:28
59808	44	240	240	Done	2019-12-01 22:13:33
59808	45	240	240	Done	2019-12-01 22:13:38
59808	46	240	240	Done	2019-12-01 22:13:46
59808	47	240	240	Done	2019-12-01 22:13:51
59808	48	240	240	Done	2019-12-01 22:13:56
59808	49	240	240	Done	2019-12-01 22:14:01
59808	50	240	240	Done	2019-12-01 22:14:06
59808	51	240	240	Done	2019-12-01 22:14:11
59808	52	240	240	Done	2019-12-01 22:14:16
59808	53	240	240	Done	2019-12-01 22:14:21
59808	54	240	240	Done	2019-12-01 22:14:25
59808	55	240	240	Done	2019-12-01 22:14:29
59808	56	240	240	Done	2019-12-01 22:14:34
59808	57	240	240	Done	2019-12-01 22:14:38
59808	58	240	240	Done	2019-12-01 22:14:43
59808	59	240	240	Done	2019-12-01 22:14:48
59808	60	240	240	Done	2019-12-01 22:14:52
59808	61	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:14:53
59808	61	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:15:04
59808	62	240	240	Done	2019-12-01 22:15:19
59808	63	240	240	Done	2019-12-01 22:15:24
59808	64	240	240	Done	2019-12-01 22:15:29
59808	65	240	240	Done	2019-12-01 22:15:33
59808	66	240	240	Done	2019-12-01 22:15:38
59808	67	240	240	Done	2019-12-01 22:15:43
59808	68	240	240	Done	2019-12-01 22:15:47
59808	69	240	240	Done	2019-12-01 22:15:52
59808	70	240	240	Done	2019-12-01 22:15:57
59808	71	240	240	Done	2019-12-01 22:16:02
59808	72	240	240	Done	2019-12-01 22:16:07
59808	73	240	240	Done	2019-12-01 22:16:13
59808	74	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:16:15
59808	74	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:16:26
59808	75	240	240	Done	2019-12-01 22:16:41
59808	76	240	240	Done	2019-12-01 22:16:45
59808	77	240	240	Done	2019-12-01 22:16:50
59808	78	240	240	Done	2019-12-01 22:16:55
59808	79	240	240	Done	2019-12-01 22:16:59
59808	80	240	240	Done	2019-12-01 22:17:05
59808	81	240	240	Done	2019-12-01 22:17:10
59808	82	240	240	Done	2019-12-01 22:17:34
59808	83	240	240	Done	2019-12-01 22:17:39
59808	84	240	240	Done	2019-12-01 22:17:56
59808	85	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:17:57
59808	85	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:18:09
59808	86	240	240	Done	2019-12-01 22:18:43
59808	87	240	240	Done	2019-12-01 22:18:48
59808	88	240	240	Done	2019-12-01 22:19:12
59808	89	240	240	Done	2019-12-01 22:19:37
59808	90	240	240	Done	2019-12-01 22:19:41
59808	91	240	240	Done	2019-12-01 22:20:05
59808	92	240	240	Done	2019-12-01 22:20:11
59808	93	240	240	Done	2019-12-01 22:20:16
59808	94	240	240	Done	2019-12-01 22:20:36
59808	95	240	240	Done	2019-12-01 22:20:41
59808	96	240	240	ISBN must be either 10 or 13 characters long	2019-12-01 22:20:42
